Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
WM6,NO,01/01/2016 00:00,136.89999,ug m-3,R
WM6,NO,02/01/2016 00:00,159,ug m-3,R
WM6,NO,03/01/2016 00:00,62.12,ug m-3,R
WM6,NO,04/01/2016 00:00,62.12,ug m-3,R
WM6,NO,05/01/2016 00:00,62.12,ug m-3,R
WM6,NO,06/01/2016 00:00,62.12,ug m-3,R
WM6,NO,07/01/2016 00:00,62.12,ug m-3,R
WM6,NO,08/01/2016 00:00,62.12,ug m-3,R
WM6,NO,09/01/2016 00:00,62.12,ug m-3,R
WM6,NO,10/01/2016 00:00,62.12,ug m-3,R
WM6,NO,11/01/2016 00:00,62.12,ug m-3,R
WM6,NO,12/01/2016 00:00,62.12,ug m-3,R
WM6,NO,13/01/2016 00:00,175.7,ug m-3,R
WM6,NO,14/01/2016 00:00,188,ug m-3,R
WM6,NO,15/01/2016 00:00,202,ug m-3,R
WM6,NO,16/01/2016 00:00,205.2,ug m-3,R
WM6,NO,17/01/2016 00:00,93.1,ug m-3,R
WM6,NO,18/01/2016 00:00,173.89999,ug m-3,R
WM6,NO,19/01/2016 00:00,378.39999,ug m-3,R
WM6,NO,20/01/2016 00:00,446.89999,ug m-3,R
WM6,NO,21/01/2016 00:00,219.5,ug m-3,R
WM6,NO,22/01/2016 00:00,183.3,ug m-3,R
WM6,NO,23/01/2016 00:00,150.10001,ug m-3,R
WM6,NO,24/01/2016 00:00,96.1,ug m-3,R
WM6,NO,25/01/2016 00:00,138.3,ug m-3,R
WM6,NO,26/01/2016 00:00,89,ug m-3,R
WM6,NO,27/01/2016 00:00,163.5,ug m-3,R
WM6,NO,28/01/2016 00:00,155.2,ug m-3,R
WM6,NO,29/01/2016 00:00,122.6,ug m-3,R
WM6,NO,30/01/2016 00:00,217.5,ug m-3,R
WM6,NO,31/01/2016 00:00,121.9,ug m-3,R
WM6,NO,01/02/2016 00:00,156.10001,ug m-3,R
WM6,NO,02/02/2016 00:00,219.5,ug m-3,R
WM6,NO,03/02/2016 00:00,266.10001,ug m-3,R
WM6,NO,04/02/2016 00:00,273,ug m-3,R
WM6,NO,05/02/2016 00:00,122.7,ug m-3,R
WM6,NO,06/02/2016 00:00,71.1,ug m-3,R
WM6,NO,07/02/2016 00:00,60.7,ug m-3,R
WM6,NO,08/02/2016 00:00,136.7,ug m-3,R
WM6,NO,09/02/2016 00:00,225.7,ug m-3,R
WM6,NO,10/02/2016 00:00,258.79999,ug m-3,R
WM6,NO,11/02/2016 00:00,285,ug m-3,R
WM6,NO,12/02/2016 00:00,116.4,ug m-3,R
WM6,NO,13/02/2016 00:00,69.2,ug m-3,R
WM6,NO,14/02/2016 00:00,27.2,ug m-3,R
WM6,NO,15/02/2016 00:00,67.2,ug m-3,R
WM6,NO,16/02/2016 00:00,193.10001,ug m-3,R
WM6,NO,17/02/2016 00:00,135.89999,ug m-3,R
WM6,NO,18/02/2016 00:00,222.5,ug m-3,R
WM6,NO,19/02/2016 00:00,145.7,ug m-3,R
WM6,NO,20/02/2016 00:00,179.2,ug m-3,R
WM6,NO,21/02/2016 00:00,90.2,ug m-3,R
WM6,NO,22/02/2016 00:00,206.5,ug m-3,R
WM6,NO,23/02/2016 00:00,124.4,ug m-3,R
WM6,NO,24/02/2016 00:00,187.10001,ug m-3,R
WM6,NO,25/02/2016 00:00,236.89999,ug m-3,R
WM6,NO,26/02/2016 00:00,193.39999,ug m-3,R
WM6,NO,27/02/2016 00:00,37.4,ug m-3,R
WM6,NO,28/02/2016 00:00,16.2,ug m-3,R
WM6,NO,29/02/2016 00:00,103.2,ug m-3,R
WM6,NO,01/03/2016 00:00,158.7,ug m-3,R
WM6,NO,02/03/2016 00:00,210.3,ug m-3,R
WM6,NO,03/03/2016 00:00,160.2,ug m-3,R
WM6,NO,04/03/2016 00:00,195.89999,ug m-3,R
WM6,NO,05/03/2016 00:00,100.8,ug m-3,R
WM6,NO,06/03/2016 00:00,142.8,ug m-3,R
WM6,NO,07/03/2016 00:00,116.5,ug m-3,R
WM6,NO,08/03/2016 00:00,180.5,ug m-3,R
WM6,NO,09/03/2016 00:00,74.5,ug m-3,R
WM6,NO,10/03/2016 00:00,81,ug m-3,R
WM6,NO,11/03/2016 00:00,142.89999,ug m-3,R
WM6,NO,12/03/2016 00:00,138.8,ug m-3,R
WM6,NO,13/03/2016 00:00,37.8,ug m-3,R
WM6,NO,14/03/2016 00:00,43.6,ug m-3,R
WM6,NO,15/03/2016 00:00,36.8,ug m-3,R
WM6,NO,16/03/2016 00:00,36.8,ug m-3,R
WM6,NO,17/03/2016 00:00,55.4,ug m-3,R
WM6,NO,18/03/2016 00:00,40,ug m-3,R
WM6,NO,19/03/2016 00:00,25.5,ug m-3,R
WM6,NO,20/03/2016 00:00,22.5,ug m-3,R
WM6,NO,21/03/2016 00:00,136.7,ug m-3,R
WM6,NO,22/03/2016 00:00,131.60001,ug m-3,R
WM6,NO,23/03/2016 00:00,145.2,ug m-3,R
WM6,NO,24/03/2016 00:00,148.8,ug m-3,R
WM6,NO,25/03/2016 00:00,131.89999,ug m-3,R
WM6,NO,26/03/2016 00:00,71.6,ug m-3,R
WM6,NO,27/03/2016 00:00,44.5,ug m-3,R
WM6,NO,28/03/2016 00:00,106.4,ug m-3,R
WM6,NO,29/03/2016 00:00,145.3,ug m-3,R
WM6,NO,30/03/2016 00:00,179.10001,ug m-3,R
WM6,NO,31/03/2016 00:00,85.1,ug m-3,R
WM6,NO,01/04/2016 00:00,139.10001,ug m-3,R
WM6,NO,02/04/2016 00:00,114.3,ug m-3,R
WM6,NO,03/04/2016 00:00,81.3,ug m-3,R
WM6,NO,04/04/2016 00:00,92.3,ug m-3,R
WM6,NO,05/04/2016 00:00,183,ug m-3,R
WM6,NO,06/04/2016 00:00,178.8,ug m-3,R
WM6,NO,07/04/2016 00:00,203.39999,ug m-3,R
WM6,NO,08/04/2016 00:00,177.2,ug m-3,R
WM6,NO,09/04/2016 00:00,136.89999,ug m-3,R
WM6,NO,10/04/2016 00:00,66.6,ug m-3,R
WM6,NO,11/04/2016 00:00,158.2,ug m-3,R
WM6,NO,12/04/2016 00:00,151.7,ug m-3,R
WM6,NO,13/04/2016 00:00,193.60001,ug m-3,R
WM6,NO,14/04/2016 00:00,157.10001,ug m-3,R
WM6,NO,15/04/2016 00:00,146.8,ug m-3,R
WM6,NO,16/04/2016 00:00,68,ug m-3,R
WM6,NO,17/04/2016 00:00,103.3,ug m-3,R
WM6,NO,18/04/2016 00:00,201.5,ug m-3,R
WM6,NO,19/04/2016 00:00,70.9,ug m-3,R
WM6,NO,20/04/2016 00:00,57.6,ug m-3,R
WM6,NO,21/04/2016 00:00,56.2,ug m-3,R
WM6,NO,22/04/2016 00:00,34.4,ug m-3,R
WM6,NO,23/04/2016 00:00,38.4,ug m-3,R
WM6,NO,24/04/2016 00:00,69.4,ug m-3,R
WM6,NO,25/04/2016 00:00,138.8,ug m-3,R
WM6,NO,26/04/2016 00:00,107.5,ug m-3,R
WM6,NO,27/04/2016 00:00,104.2,ug m-3,R
WM6,NO,28/04/2016 00:00,126.5,ug m-3,R
WM6,NO,29/04/2016 00:00,159.89999,ug m-3,R
WM6,NO,30/04/2016 00:00,117.3,ug m-3,R
WM6,NO,01/05/2016 00:00,102.9,ug m-3,R
WM6,NO,02/05/2016 00:00,104,ug m-3,R
WM6,NO,03/05/2016 00:00,165.89999,ug m-3,R
WM6,NO,04/05/2016 00:00,163.60001,ug m-3,R
WM6,NO,05/05/2016 00:00,133.8,ug m-3,R
WM6,NO,06/05/2016 00:00,96.9,ug m-3,R
WM6,NO,07/05/2016 00:00,120.1,ug m-3,R
WM6,NO,08/05/2016 00:00,62.12,ug m-3,R
WM6,NO,09/05/2016 00:00,80.4,ug m-3,R
WM6,NO,10/05/2016 00:00,85.3,ug m-3,R
WM6,NO,11/05/2016 00:00,98.2,ug m-3,R
WM6,NO,12/05/2016 00:00,31,ug m-3,R
WM6,NO,13/05/2016 00:00,21.7,ug m-3,R
WM6,NO,14/05/2016 00:00,51.1,ug m-3,R
WM6,NO,15/05/2016 00:00,62.12,ug m-3,R
WM6,NO,16/05/2016 00:00,62.12,ug m-3,R
WM6,NO,17/05/2016 00:00,132.2,ug m-3,R
WM6,NO,18/05/2016 00:00,139.89999,ug m-3,R
WM6,NO,19/05/2016 00:00,157.39999,ug m-3,R
WM6,NO,20/05/2016 00:00,175.7,ug m-3,R
WM6,NO,21/05/2016 00:00,112.5,ug m-3,R
WM6,NO,22/05/2016 00:00,98.6,ug m-3,R
WM6,NO,23/05/2016 00:00,68.7,ug m-3,R
WM6,NO,24/05/2016 00:00,17.7,ug m-3,R
WM6,NO,25/05/2016 00:00,40.7,ug m-3,R
WM6,NO,26/05/2016 00:00,141,ug m-3,R
WM6,NO,27/05/2016 00:00,47,ug m-3,R
WM6,NO,28/05/2016 00:00,22.6,ug m-3,R
WM6,NO,29/05/2016 00:00,16.7,ug m-3,R
WM6,NO,30/05/2016 00:00,18.8,ug m-3,R
WM6,NO,31/05/2016 00:00,38.8,ug m-3,R
WM6,NO,01/06/2016 00:00,39.3,ug m-3,R
WM6,NO,02/06/2016 00:00,20,ug m-3,R
WM6,NO,03/06/2016 00:00,42.8,ug m-3,R
WM6,NO,04/06/2016 00:00,62.12,ug m-3,R
WM6,NO,05/06/2016 00:00,62.12,ug m-3,R
WM6,NO,06/06/2016 00:00,62.12,ug m-3,R
WM6,NO,07/06/2016 00:00,62.12,ug m-3,R
WM6,NO,08/06/2016 00:00,62.12,ug m-3,R
WM6,NO,09/06/2016 00:00,62.12,ug m-3,R
WM6,NO,10/06/2016 00:00,62.12,ug m-3,R
WM6,NO,11/06/2016 00:00,62.12,ug m-3,R
WM6,NO,12/06/2016 00:00,62.12,ug m-3,R
WM6,NO,13/06/2016 00:00,62.12,ug m-3,R
WM6,NO,14/06/2016 00:00,62.12,ug m-3,R
WM6,NO,15/06/2016 00:00,120.2,ug m-3,R
WM6,NO,16/06/2016 00:00,129.10001,ug m-3,R
WM6,NO,17/06/2016 00:00,61.9,ug m-3,R
WM6,NO,18/06/2016 00:00,90.7,ug m-3,R
WM6,NO,19/06/2016 00:00,66.8,ug m-3,R
WM6,NO,20/06/2016 00:00,157.5,ug m-3,R
WM6,NO,21/06/2016 00:00,151.7,ug m-3,R
WM6,NO,22/06/2016 00:00,148.10001,ug m-3,R
WM6,NO,23/06/2016 00:00,140.8,ug m-3,R
WM6,NO,24/06/2016 00:00,136.60001,ug m-3,R
WM6,NO,25/06/2016 00:00,87.7,ug m-3,R
WM6,NO,26/06/2016 00:00,100.4,ug m-3,R
WM6,NO,27/06/2016 00:00,141.60001,ug m-3,R
WM6,NO,28/06/2016 00:00,139.10001,ug m-3,R
WM6,NO,29/06/2016 00:00,104.4,ug m-3,R
WM6,NO,30/06/2016 00:00,112.8,ug m-3,R
WM6,NO,01/07/2016 00:00,146.7,ug m-3,R
WM6,NO,02/07/2016 00:00,182.89999,ug m-3,R
WM6,NO,03/07/2016 00:00,102.2,ug m-3,R
WM6,NO,04/07/2016 00:00,122.9,ug m-3,R
WM6,NO,05/07/2016 00:00,113,ug m-3,R
WM6,NO,06/07/2016 00:00,62.12,ug m-3,R
WM6,NO,07/07/2016 00:00,152.10001,ug m-3,R
WM6,NO,08/07/2016 00:00,195.2,ug m-3,R
WM6,NO,09/07/2016 00:00,156.89999,ug m-3,R
WM6,NO,10/07/2016 00:00,103.1,ug m-3,R
WM6,NO,11/07/2016 00:00,155,ug m-3,R
WM6,NO,12/07/2016 00:00,132.5,ug m-3,R
WM6,NO,13/07/2016 00:00,141.39999,ug m-3,R
WM6,NO,14/07/2016 00:00,128.5,ug m-3,R
WM6,NO,15/07/2016 00:00,196.3,ug m-3,R
WM6,NO,16/07/2016 00:00,142.2,ug m-3,R
WM6,NO,17/07/2016 00:00,121.6,ug m-3,R
WM6,NO,18/07/2016 00:00,143.5,ug m-3,R
WM6,NO,19/07/2016 00:00,107.3,ug m-3,R
WM6,NO,20/07/2016 00:00,129.10001,ug m-3,R
